m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M170,2,"1. Chalk
2. Lead white, a little brown, yellow and red ochre, black",LY-Br,,,,LY,Calcium carbonate (chalk),Br,"Lead white, brown, yellow, red ochre, black",,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Unknown analytical technique
M171,2,"1. Chalk
2. Lead white",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,2,,,,,,,,,"Wheelock, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M172,2,"1. Chalk
2. Lead white, chalk, a little ochre and umber",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, chalk, ochre, umber",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M173,2,"1. Chalk
2. Lead white, chalk, umber",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, chalk, umber",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Have continued to categorize any of Groen's grounds with the word ""yellow"" in them as yellow. May need to revisit this yellow-brown issue."
M174,2,"1. Chalk
2. Lead white, brown ochre",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, brown ochre",,,LBr,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M175,1,1. Chalk,LY,,,,LY,Calcium carbonate (chalk),,,,,LY,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Interesting that this seems to have a second ground but the Portrait of a man does not
M176,2,"1. Chalk
2. Lead white, chalk (?), umber, and black",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, chalk (?), umber, black",,,LBr,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M177,2,"1. Chalk
2. Lead white, a little brown ochre, charcoal black",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, brown ochre, charcoal black",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M178,2,"1. Chalk
2. Lead white, ochre or umber",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, ochre or umber",,,Y,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Again, Bomford uses different color descriptions"
M179,2,"1. Chalk
2. Lead white, yellow brown earth",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, yellow brown earth",,,LBr,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"First ground missing, presumably chalk"
M180,2,"1. 1st ground missing?
2. Lead white, (chalk as well?), a little brown and red ochre and black",LBr,,,,,,LBr,"Lead white, chalk (?), brown and red ochre, black",,,LBr,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"First ground missing, presumably chalk"
M181,2,"1. 1st ground missing?
2. Lead white, a little brown and red ochre, bone black",LBr,,,,,,LBr,"Lead white, brown and red ochre, bone black",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M182,2,"1. Chalk
2. Lead white, chalk, ochre",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, chalk, ochre",,,Y,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M183,2,"1. Chalk
2. Lead white, chalk, a little ochre",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, chalk, ochre",,,Y,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M184,2,"1. Chalk
2. Lead white, yellow brown earth, umber",LY-Br,,,,LY,Calcium carbonate (chalk),Br,"Lead white, yellow brown earth, umber",,,Br,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Brownish? 
M185,2,"1. Chalk
2. Brownish",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,Brownish,,,LBr,3,,,,,,,,,"Lab Musees de France, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M186,2,"1. Chalk
2. Lead white, a little ochre and/or umber",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, ochre/umber",,,LBr,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M187,1,"1. Lead white, iron oxide",G,,,,G,"Lead white, iron oxide",,,,,G,2,,,,,,,,,"Wheelock, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M188,1,"1. Lead white, bone (?) black, a little red and brown ochre",G,,,,G,"Lead white, bone (?) black, red and brown ochre",,,,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Going to classify second grounds on canvas that contain lead white and black as ""grey"""
M189,2,"1. Red earth, a little umber (2 layers?)
2. Lead white, yellow and red ochre, chalk, fine (lamp) black",R-G,,,,R,"Red earth, umber",G,"Lead white, yellow and red ochre, chalk, fine (lamp) black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M190,2,"1. Red earth
2. Lead white, a little yellow ochre, bone black, very little chalk",R-G,,,,R,Red earth,G,"Lead white, yellow ochre, bone black, chalk",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M191,2,"1. Red earth (2 layers)
2. Lead white, charcoal black, yellow and a little ochre",R-G,,,,R,Red earth,G,"Lead white, charcoal black, yellow and red ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M192,2,"1. Red earth (2 layers)
2. Lead white, charcoal black, yellow and a little ochre",R-G,,,,R,Red earth,G,"Lead white, charcoal black, yellow and red ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M193,2,"1. Red earth, umber
2. Lead white, a little red ochre, lamp black",R-G,,,,R,"Red earth, umber",G,"Lead white, red ochre, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M194,2,"1. Red ochre, umber, aluminosilicates
2. Lead white, a little yellow ochre, lamp black",R-G,,,,R,"Red ochre, umber, aluminosilicates",G,"Lead white, yellow ochre, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M195,2,"1. Red earth, a little umber (2 layers)
2. Lead white, very little red ochre and fine black",R-G,,,,R,"Red earth, umber",G,"Lead white, very little red ochre and fine black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M196,2,"1. Red earth (brownish), very little black and umber
2. Lead white, fine black, very little brown, red and yellow ochre",R-G,,,,R,"Red earth, black, umber",G,"Lead white, fine black, brown, red, yellow ochre",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Struggled to classify colour of second layer
M197,2,"1.Red ochre, quartz, lead white
2. Lead white (mostly)",R-G,,,,R,"Red ochre, quartz, lead white",G,Lead white,,,G,2,,,,,,,,,"Stolov, Wainwright, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M198,2,"1. Red earth, chalk, a little lead white
2. Lead white, a little bone black",R-G,,,,R,"Red earth, chalk, a little lead white",G,"Lead white, bone black",,,G,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Unknown analytical technique
M199,2,"1. Red earth
2. Lead white, black (?)",R-G,,,,R,Red earth,G,"Lead white, black",,,G,3,,,,,,,,,"Intermuseum labs, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M200,2,"1. Red earth, a little umber (high Si)
2. Lead white, a little umber and yellow ochre, very little black",R-G,,,,R,"Red earth, umber, silicon",G,"Lead white, umber , yellow ochre, black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M201,2,"1. Red earth
2. Lead white, lamp black, a little red lead and yellow ochre",R-G,,,,R,Red earth,G,"Lead white, lamp black, red lead, yellow ochre",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M202,2,"1. Red earth, umber, quartz
2. Lead white, yellow ochre, little red ochre, lamp black",R-G,,,,R,"Red earth, umber, quartz",G,"Lead white, yellow ochre, red ochre, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M203,2,"1. Red earth, chalk, quartz
2. Lead white little ochre/umber, lamp black",R-G,,,,R,"Red earth, chalk, quartz",G,"Lead white,ochre/umber, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M204,2,"1. Red earth umber, quartz
2. Lead white, lumps of bright yellow ochre, red ochre, lamp black",R-G,,,,R,"Red earth, umber, quartz",G,"Lead white, yellow ochre, red ochre, lamp black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M205,2,"1. Red earth/umber (high Si and Al)
2. Leasd white, a little bone black, very little ochre",R-LG,,,,R,"Red earth, umber",LG,"Lead white, bone black, ochre",,,LG,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M206,2,"1. Red earth/umber (high Si and Al)
2. Leasd white, a little bone black, very little ochre",R-LG,,,,R,"Red earth, umber",LG,"Lead white, bone black, ochre",,,LG,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M207,2,"1. Red ochre
2. Lead white",R-W,,,,R,Red ochre,W,Lead white,,,W,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M208,2,"1. Red earth, a little umber (high Si)
2. Lead white, a little umber, black",R-G,,,,R,"Red earth, umber",G,"Lead white, umber, black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M209,2,"1. Orange-red earth
2. Lead white, a little umber and fine-grained black",R-LG,,,,R,Orange-red earth,LG,"Lead white, umber, fine black",,,LG,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M210,2,"1. Red and tellow ochre, a little quartz and calcite
2. Lead white, charcoal black",R-G,,,,R,"Red and yellow ochre,
quartz,calcite",G,"Lead white, charcoal black",,,G,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M211,2,"1. Orange-red earth
2. Lead white, charcoal black, a little ochre",R-LG,,,,R,Orange-red earth,LG,"Lead white, charcoal black, ochre",,,LG,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M212,2,"1. Red earth, umber
2. Lead white, umber, a little bone [black], a little red and brown ochre",R-LG,,,,R,"Red earth, umber",LG,"Lead white, umber, bone black, red and brown ochre",,,LG,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M213,2,"1. Red earth, a little quartz and calcite
2. Lead white, chalk, a little black",R-G,,,,R,"Red earth, quartz, calcite",G,"Lead white, chalk, black",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M214,2,"1. Orange-red earth
2. Lead white, umber, carbon black",R-LG,,,,R,Orange-red earth,LG,"Lead white, umber, carbon black",,,LG,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M215,2,"1. Red earth, quartz (2 layers, top one thin and translucent)
2. Lead white, very little red and brown ochre and black",R-G,,,,R,"Red earth, quartz",G,"Lead white, red and brown ochre, black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M216,2,"1. Red earth, a little umber
2. Lead white, bone black, a little brown and yellow ochre",R-G,,,,R,"Red earth, umber",G,"Lead white, bone black, brown and yellow ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M217,2,"1. Red earthm a little quartz and feldspar
2. Lead white, a little bone black",R-LG,,,,R,"Red earth, quartz, feldspar",LG,"Lead white, bone black",,,LG,1,,,,,,,,,"Kosolapov, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Unclear what colour the upper ground is, would seem to be grey based on pigments but Kuhn says ""brown red"""
M218,2,"1. Red-brown ochre
2. Lead white, ochre, charcoal black",R-G,,,,R,Red-brown ochre,G,"Lead white, ochre, charcoal black",,,G,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M219,2,"1. Red earth
2. Lead white, a little red and yellow-brown ochre, charcoal black (finely ground)",R-LG,,,,R,Red earth,LG,"Lead white, red and yellow-brown ochre, charcoal black",,,LG,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M220,2,"1. Red earth (high in Si and Al)
2. Lead white, charcoal black (fine), a little red and yellow ochre",R-G,,,,R,Red earth,G,"Lead white, charcoal black, red and yellow ochre",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Does say grey brown but there's no black so I will classify this as brown
M221,2,"1. Red and brown ochre, lead white, chalk
2. Lead white, brown ochre",R-Br,,,,R,"Red and brown ochre, lead white, chalk",Br,"Lead white, brown ochre",,,Br,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"This one does have black but Groen describes the colour as ""light brownish yellow"" so I'm classifying as brown"
M222,2,"1. Red earth, quartz, a little umber (high Si, 2 layers)
2. Lead white, a little umber and charcoal black",R-Br,,,,R,"Red earth, quartz, umber",Br,"Lead white, umber, charcoal black",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M223,2,"1. Red earth, quartz, a little black (high Si, 2 layers)
2. Lead white, a little bone black and umber",R-Br,,,,R,"Red earth, quartz, black",Br,"Lead white, bone black, umber",,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M224,2,"1. Red earth
2. Lead white, brown ochre, a little charcoal",R-G,,,,R,Red earth,G,"Lead white, brown ochre, charcoal black",,,G,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M225,2,"1. Red earth
2. Lead white, fine yellow ochre, finely ground charcoal black",R-G,,,,R,Red earth,G,"Lead white, yellow ochre, charcoal black",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M226,2,"1. Red earth, contains umber
2. Lead white, a little bone black and umber",R-G,,,,R,"Red earth, umber",G,"Lead white, bone black, umber",,,G,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M227,1,"1. Quartz, feldspar, clay minerals (illite), muscovite, yellow and brown ochre, a little chalk",Br,,,,Br,"Quartz, feldspar, clay minerals (illite), muscovite, yellow and brown ochre, a little chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,"Why does she say ""brown?"""
M228,2,"1. Red earth
2. Lead white, umber",R-Br,,,,R,Red earth,Br,"Lead white, brown",,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M229,2,"1. Red earth
2. Lead white, umber",R-Br,,,,R,Red earth,Br,"Lead white, brown",,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M230,2,"1. Red earth
2. Lead white, a little charcoal black, chalk, yellow and brown ochre",R-G,,,,R,Red earth,G,"Lead white, charcoal black, chalk, yellow and brown ochre",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M231,1,"1. Quartz, clay minerals, ilmenite, brown ochre, a little red ochre and chalk",Br,,,,Br,"Quartz, clay minerals, ilmenite, brown ochre, a little red ochre and chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M232,1,"1. Quartz, a little ochre",Y,,,,Y,"Quartz, ochre",,,,,Y,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M233,1,"1. Quartz, clay minerals, ilmenite, very little ochre, black and chalk",Br,,,,Br,"Quartz, clay minerals, ilmenite, ochre, black and chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M234,1,"1. Quartz, clay minerals, ilmenite, a little red and brown ochre, very little black and chalk",Br,,,,Br,"Quartz, clay minerals, ilmenite, red and brown ochre, black and chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M235,1,"1. Quartz, clay minerals (illite, a little kaolinite), mica, ilmenite (FeTiO3), a little brown ochre, chalk",Br,,,,Br,"Quartz, clay minerals (illite, a little kaolinite), mica, ilmenite (FeTiO3), brown ochre, chalk",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M236,2,"1. Red ochre, chalk
2. Lead white, chalk, charcoal black",R-G,,,,R,"Red ochre, chalk",G,"Lead white, chalk, charcoal black",,,G,2,,,,,,,,,"Kuhn, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M237,1,"1. Quartz, calcite (XRD: 30%), clay minerals, a little brown and red ochre and bone black",Br,,,,Br,"Quartz, calcite, clay minerals, brown and red ochre and bone black",,,,,Br,1,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M238,2,"1. Reddish brown earth
2. Lead white, charcoal black, orange-yellow ochre (lumps)",R-G,,,,R,Red earth,G,"Lead white, charcoal black, orange-yellow ochre",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground
M239,1,"1. Quartz, brown ochre",Br,,,,Br,"Quartz, brown ochre",,,,,Br,1,,,,,,,,,"David Bomford, Karin Groen","Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Quartz ground?
M240,1,"1. Fine yellow and brown iron oxide, a little red earth, quartz, umber (?)",Br,,,,Br,"Yellow and brown iron oxide, red earth, quartz, umber (?)",,,,,Br,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,
M241,2,"1. Red ochre (2 layers), a little quartz, and chalk
2. Lead white, bone (or charcoal?) black, little umber very little red and brown ochre",R-G,,,,R,"Red ochre, quartz, chalk",G,"Lead white, bone black, umber, red and brown ochre",,,G,2,,,,,,,,,Karin Groen,"Groen, Karin M. “Grounds in Rembrandt’s Workshop and in Paintings by His Contemporaries.” In A Corpus of Rembrandt Paintings, IV:318–34. Dordrecht: Springer, 2005.",,Unacceptable colour description! Use as example
